Timestamp,Which college are you from?  ,"What AI tools do you use for studying, and how frequently? (e.g., ChatGPT, Grammarly, QuillBot, etc.)","How do you incorporate AI into your learning process? (e.g., research, writing, tutoring, summarizing content, generating ideas, etc.)","Do you rely on AI for specific subjects or tasks? If so, which ones?  ","Do you think AI has changed your approach to studying? If yes, how?  ",Has using AI tools helped you understand difficult topics better? Can you provide an example?  ,Do you think AI has contributed to better grades or more efficient studying? Why or why not?  ,What are the biggest advantages and drawbacks of using AI for learning?  ,"Do you have any concerns about using AI in academics, such as over-reliance or ethical issues?  "
2025/03/29 8:58:44 PM GMT+8,College of Education,ChatGpt kapag naay reporting tapos Quillbot kapag magbuhat ug reflection and all,"Mag-summarize ug content, sometimes kapag maglisod kog sabot kay ginapasimplify nako.","Sometimes, Quillbot kapag magcheck ug grammar or magparaphrase.","Yes, specifically when it comes to reporting, mas ma-elaborate nako akoa topics.","Yes, parehas anang naay mga unfamiliar na terminologies, pwede nimo sya ipa-simplify kay AI.","Yes, in a way nga kaya niya i-explain ang topics in simplest way para mas masabtan sa students.","Biggest advantage, it makes learning easier.
Drawback, naging dependent ang mga students sa AI which is not good kay di na ma enhance ang mga skills such as critical thinking skill.","Yes, over-reliance. Despite sa advantages sa pag use ug AI, we can’t deny the fact gihapon na mas naging tamad and dependent ang students."
2025/03/30 4:10:21 PM GMT+8,,"chatgpt and quillbot, I use it whenever I am having hard time in my assignments.","I use it mainly for checking grammatical errors, sometimes generate some ideas and to summarize long texts in modules",Yes specially in programming sometimes it helps me with my code.,"I think machange sya, mas napadali niya akoang mga task and mas dali sabton ang mga himuonon.","Yes like for example pag mag module lang mi or ipa self study, sometimes maglisod gyud kog sabot and gahelp jud ang ai like chatgpt kay pwede man nimo sya mapangutan-an.",Yes nakacontribute gyud sya sa akoang grade and more efficient kay naay mga task na pwede nalang nmo iautomate then mag focus ka didto sa mas lisod nga task.,Para sa akoa biggest advantages sa AI is kaya niya iautomate ang mga easy task para mas efficient pero usahay kay magsalig na ta sa AI na miski basic nalang na task di na ta kabalo muhimo.,Sa academic siguro kay over reliance lang kay naay times dili accurate ang AI and kailangan jud ug human na mucheck kung tama ba ang giingon sa AI.
2025/03/30 7:48:54 PM GMT+8,Education ,"Chatgpt, quillbot, deepseek",generating ideas,I would say a subject or task that involves math.,"Yes, AI significantly changed my approach in terms of school matter in a way that it makes my student life more bearable.","Yes. For instance, if there’s a certain task given to me and I’m having a hard time to understand the question or instruction I copy paste it to an AI tool and command it to make the question more understandable. ","I would yes YES, because AI indeed help in learning and it makes learning easier.","Biggest advantage of AI in my perspective is it significantly helped me in my study by making learning easier. But the drawbacks is I often find myself relying on AI too much, I noticed that I’m no longer putting effort in my study since AI exist.",I have none. 
2025/03/30 9:03:32 PM GMT+8,College of Education,"ChatGPT and QuillBot. I use them frequently, especially when working on assignments.","As a student in education, I use AI for research to find helpful resources quickly, for writing by generating ideas and proofreading, and for summarizing content to make studying easier. AI also helps by explaining difficult topics and gives different teaching strategies which is essential for us as a future educator.","Sometimes. I rely on AI for different strategies depending on the subject or task. For example, I use AI for research in subjects like history or education, and for writing tasks like essays or reports. I also use AI for summarizing content in complex subjects and for getting help with difficult topics.","Yes, AI has made studying more efficient by helping me find resources, summarize content, and get quick help with tough concepts. It also helps me stay organized and manage my time better.","Yes, AI tools have helped me understand difficult topics better. For example, in our major subject (teaching social studies in elementary grades), I was having trouble understanding the concept of differentiated instruction. I used AI to break down the strategy into smaller steps and provide real-world examples. This not only clarified the concept but also helped me generate creative ideas on how to teach social studies in a more engaging way. With AI’s help, I was able to plan interactive activities and tailor my lesson for different learning styles, which will make my upcoming teaching demonstration more effective and engaging.","Yes, I think AI has helped me get better grades and study more efficiently. AI makes it easier to find resources, understand difficult topics, and organize my notes which makes studying faster and more effective.","The biggest advantage of using AI for learning is that it makes studying more efficient by providing quick access to information, helping with difficult topics, and offering personalized support. It also helps organize notes and manage time better. 

However, a drawback is that relying too much on AI might reduce critical thinking and problem-solving skills. Also, AI may not always provide accurate information, so it's important to double-check sources.","Yes, personally, I have some concerns about using AI in academics. One concern is over-reliance, where there are times I depend too much on AI for answers, which could affect my ability to think critically and solve problems on my own. That's why It’s important to use AI responsibly and not replace essential learning skills.
"
2025/03/30 9:10:18 PM GMT+8,CEd,Chatgpt,Tutoring ,Nope,"Yes,  by explaining terms that it's hard for me to understand ",Yes,Yes,Making it more easier while it can also lead to dependency on AI,I don't have concerns about it because we're now in modern day it's just the over reliance and dependency 
2025/03/30 9:21:19 PM GMT+8,College of Education ,ChatGPT sometimes when needed,I sometimes incorporate it for seeking guidance and for grammar checking,No,No,Yes. Example is for unfamiliar topics ,"Yes, it guides me and help me in specific tasks",Generating ideas and correcting my grammars ,None so far
2025/03/30 10:30:02 PM GMT+8,CAS,Chat GPT ,Generating ideas ,No,Yes,Yes,Yes,Makes life easier yet may result to total dependence to AI and sometimes limits someone to explore or and discover someone's hidden potential due to total reliance on AI's.,Yes
2025/03/30 10:39:05 PM GMT+8,College of Business Administration ,"I use ChatGPT and Grammarly regularly. ChatGPT for studying and brainstorming, and Grammarly for proofreading and clarity.","I use AI for studying, researching, generating ideas, and summarizing content to enhance my learning process.","I use AI mainly for researching, studying, generating ideas, and summarizing content, but not for specific subjects.","Yes, AI has made studying more efficient by providing quick explanations, generating practice questions, and helping me understand complex topics better.","Yes, AI tools have helped me understand difficult topics better. For example, I use ChatGPT to simplify complex Business Taxation concepts and practice solving VAT-related problems, which improves my comprehension.","Yes, AI helps me study faster and understand topics better, which likely improves my grades.","Advantages: Quick explanations, efficient study, personalized help.
Drawbacks: Over-reliance, lack of critical thinking, possible inaccuracies.","Yes, about over-reliance and the risk of compromising original thinking."
2025/03/31 7:41:42 AM GMT+8,Ced,"Notebook LN, Gemini, Grammarly, Turn it in",Tutoring and generating ideas,"Not really, I mostly use AI to understand the lesson more.","Yes, during the current midterms I use Notebook LN to summarize the content so its more digestible in a short time.","Yes it has, for example with gemini, I can have a conversation and with that we can talk and do a deep dive on a specific topic",AI has definitely helped me in my studies especially when there is something I don't understand and if I'm short on time,"Advantages: convinient, and AI can helps you to understand better

Disadvantage: over-reliance ","Off course, the no. 1 Issue in using AI in academics is the over-relience of using it, but aside from that I can't think of any at the moment "
2025/03/31 6:28:55 PM GMT+8,CIC,ChatGPT,"Research, Tutoring, and summarizing","Yes, studying","Yes, made it easier to  me to study","Yes, Software Engineering","Yes, very fast and efficient",easy but makes person lazy,No
